Id,Subsistema,Sector,Manzana,Lote,Nivel1,Nivel2,Fraccion,Toma,Original,Correcta
46,1,1,5,14,0,0,0,1,"1-1-0005-0014-00-00-00-01","1-01-0005-0014-00-00-00-01"
47,1,1,5,13,0,0,0,1,"1-1-0005-0013-00-00-00-01","1-01-0005-0013-00-00-00-01"
48,1,1,5,12,0,0,0,1,"1-1-0005-0012-00-00-00-01","1-01-0005-0012-00-00-00-01"
49,1,1,5,11,0,0,0,1,"1-1-0005-0011-00-00-00-01","1-01-0005-0011-00-00-00-01"
50,1,1,5,10,0,0,0,1,"1-1-0005-0010-00-00-00-01","1-01-0005-0010-00-00-00-01"
51,1,1,5,9,0,0,0,1,"1-1-0005-0009-00-00-00-01","1-01-0005-0009-00-00-00-01"
52,1,1,5,8,0,0,0,1,"1-1-0005-0008-00-00-00-01","1-01-0005-0008-00-00-00-01"
53,1,1,5,7,0,0,0,1,"1-1-0005-0007-00-00-00-01","1-01-0005-0007-00-00-00-01"
54,1,1,7,1,0,0,0,1,"1-1-0007-0001-00-00-00-01","1-01-0007-0001-00-00-00-01"
55,1,20,1,25,0,0,0,1,"1-20-0001-0025-00-00-00-01","1-20-0001-0025-00-00-00-01"
56,1,1,7,2,0,0,0,1,"1-1-0007-0002-00-00-00-01","1-01-0007-0002-00-00-00-01"
57,1,1,7,7,0,0,0,1,"1-1-0007-0007-00-00-00-01","1-01-0007-0007-00-00-00-01"
58,1,1,8,9,0,0,0,1,"1-1-0008-0009-00-00-00-01","1-01-0008-0009-00-00-00-01"
59,1,1,8,8,0,0,0,1,"1-1-0008-0008-00-00-00-01","1-01-0008-0008-00-00-00-01"
60,1,1,8,7,0,0,0,1,"1-1-0008-0007-00-00-00-01","1-01-0008-0007-00-00-00-01"
61,1,1,8,6,0,0,0,1,"1-1-0008-0006-00-00-00-01","1-01-0008-0006-00-00-00-01"
62,1,1,8,5,0,0,0,1,"1-1-0008-0005-00-00-00-01","1-01-0008-0005-00-00-00-01"
63,1,1,8,4,0,0,0,1,"1-1-0008-0004-00-00-00-01","1-01-0008-0004-00-00-00-01"
64,1,1,8,3,0,0,0,1,"1-1-0008-0003-00-00-00-01","1-01-0008-0003-00-00-00-01"
65,1,1,8,2,0,0,0,1,"1-1-0008-0002-00-00-00-01","1-01-0008-0002-00-00-00-01"
66,1,1,8,1,0,0,0,1,"1-1-0008-0001-00-00-00-01","1-01-0008-0001-00-00-00-01"
67,1,1,7,13,0,0,0,1,"1-1-0007-0013-00-00-00-01","1-01-0007-0013-00-00-00-01"
68,1,1,7,12,0,0,0,1,"1-1-0007-0012-00-00-00-01","1-01-0007-0012-00-00-00-01"
69,1,1,7,11,0,0,0,1,"1-1-0007-0011-00-00-00-01","1-01-0007-0011-00-00-00-01"
70,1,1,7,10,0,0,0,1,"1-1-0007-0010-00-00-00-01","1-01-0007-0010-00-00-00-01"
71,1,1,7,9,0,0,0,1,"1-1-0007-0009-00-00-00-01","1-01-0007-0009-00-00-00-01"
72,1,1,7,8,0,0,0,1,"1-1-0007-0008-00-00-00-01","1-01-0007-0008-00-00-00-01"
73,1,1,7,3,0,0,0,1,"1-1-0007-0003-00-00-00-01","1-01-0007-0003-00-00-00-01"
74,1,1,5,5,0,0,0,1,"1-1-0005-0005-00-00-00-01","1-01-0005-0005-00-00-00-01"
75,1,20,1,26,0,0,0,1,"1-20-0001-0026-00-00-00-01","1-20-0001-0026-00-00-00-01"
76,1,20,1,28,0,0,0,1,"1-20-0001-0028-00-00-00-01","1-20-0001-0028-00-00-00-01"
77,1,20,3,13,0,0,0,1,"1-20-0003-0013-00-00-00-01","1-20-0003-0013-00-00-00-01"
78,1,20,3,12,0,0,0,1,"1-20-0003-0012-00-00-00-01","1-20-0003-0012-00-00-00-01"
79,1,20,3,11,0,0,0,1,"1-20-0003-0011-00-00-00-01","1-20-0003-0011-00-00-00-01"
80,1,20,3,10,0,0,0,1,"1-20-0003-0010-00-00-00-01","1-20-0003-0010-00-00-00-01"
81,1,20,3,9,0,0,0,1,"1-20-0003-0009-00-00-00-01","1-20-0003-0009-00-00-00-01"
82,1,20,3,8,0,0,0,1,"1-20-0003-0008-00-00-00-01","1-20-0003-0008-00-00-00-01"
83,1,20,3,13,0,0,0,2,"1-20-0003-0013-00-00-00-02","1-20-0003-0013-00-00-00-02"
84,1,20,3,6,0,0,0,1,"1-20-0003-0006-00-00-00-01","1-20-0003-0006-00-00-00-01"
85,1,20,3,2,0,0,0,1,"1-20-0003-0002-00-00-00-01","1-20-0003-0002-00-00-00-01"
86,1,20,3,1,0,0,0,5,"1-20-0003-0001-00-00-00-05","1-20-0003-0001-00-00-00-05"
87,1,20,3,1,0,0,0,4,"1-20-0003-0001-00-00-00-04","1-20-0003-0001-00-00-00-04"
88,1,20,3,1,0,0,0,3,"1-20-0003-0001-00-00-00-03","1-20-0003-0001-00-00-00-03"
89,1,20,3,1,0,0,0,2,"1-20-0003-0001-00-00-00-02","1-20-0003-0001-00-00-00-02"
90,1,20,3,1,0,0,0,1,"1-20-0003-0001-00-00-00-01","1-20-0003-0001-00-00-00-01"
91,1,20,3,3,0,0,0,1,"1-20-0003-0003-00-00-00-01","1-20-0003-0003-00-00-00-01"
92,1,20,3,15,0,0,0,1,"1-20-0003-0015-00-00-00-01","1-20-0003-0015-00-00-00-01"
93,1,20,3,17,0,0,0,1,"1-20-0003-0017-00-00-00-01","1-20-0003-0017-00-00-00-01"
94,1,20,3,18,0,0,0,1,"1-20-0003-0018-00-00-00-01","1-20-0003-0018-00-00-00-01"
95,1,20,5,4,0,0,0,1,"1-20-0005-0004-00-00-00-01","1-20-0005-0004-00-00-00-01"
96,1,20,5,3,0,0,0,1,"1-20-0005-0003-00-00-00-01","1-20-0005-0003-00-00-00-01"
97,1,20,5,2,0,0,0,1,"1-20-0005-0002-00-00-00-01","1-20-0005-0002-00-00-00-01"
98,1,20,5,1,0,0,0,1,"1-20-0005-0001-00-00-00-01","1-20-0005-0001-00-00-00-01"
99,1,20,4,1,0,0,0,1,"1-20-0004-0001-00-00-00-01","1-20-0004-0001-00-00-00-01"
100,1,20,3,33,0,0,0,1,"1-20-0003-0033-00-00-00-01","1-20-0003-0033-00-00-00-01"
101,1,20,3,31,0,0,0,1,"1-20-0003-0031-00-00-00-01","1-20-0003-0031-00-00-00-01"
102,1,20,3,29,0,0,0,1,"1-20-0003-0029-00-00-00-01","1-20-0003-0029-00-00-00-01"
103,1,20,3,27,0,0,0,1,"1-20-0003-0027-00-00-00-01","1-20-0003-0027-00-00-00-01"
104,1,20,3,25,0,0,0,1,"1-20-0003-0025-00-00-00-01","1-20-0003-0025-00-00-00-01"
